action_id,title,tier,status,risk_tier,requires_admin,requires_runtime_input,mutation_capable,dry_run_default,requires_apply_for_change,script_path,script_sha256
ENDUSER_NOINPUT_OS_CAPTION_PRESENCE_V1,OS caption property presence,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/061-os-caption-presence.ps1,5dc8dc6a466234f75784190c827d68cbcf40c2762cf55bd2caec80938170e84c
ENDUSER_NOINPUT_OS_VERSION_PRESENCE_V1,OS version/build property presence,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/062-os-version-presence.ps1,0c4621a390609fb303a7031266869d1c80659cb885d62cf4dfdfe899b39b1c0c
ENDUSER_NOINPUT_OS_INSTALL_DATE_PRESENCE_V1,OS install date property presence,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/063-os-install-date-presence.ps1,8435719e1017629a191c1efb62df50d34a2d5d528689b087cf85bb341eeeb92b
ENDUSER_NOINPUT_OS_ARCHITECTURE_PRESENCE_V1,OS architecture property presence,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/064-os-architecture-presence.ps1,724a65e48cf70b5a7df2f17b1ae0f7733c6d3374f30449185fab8bb3579cd039
ENDUSER_NOINPUT_COMPUTER_MANUFACTURER_PRESENCE_V1,Computer manufacturer/model property presence,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/065-computer-manufacturer-presence.ps1,bc1eb1191041ec12f96f2898da4a3d2db9fd37dddcd89a363d8c7c4dfdb305e6
ENDUSER_NOINPUT_COMPUTER_MEMORY_PRESENCE_V1,Computer memory property presence,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/066-computer-memory-presence.ps1,9eec61270f1c05962c7bfbb7cbba4c8e0613b226f4bbc4eb02e6915c933de47f
ENDUSER_NOINPUT_PROCESSOR_COUNT_V1,Processor instance count,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/067-processor-count.ps1,6fd63aaa99b4707fb8a86c78f530c60da5823b251bc9816fe27f85b3ba33f413
ENDUSER_NOINPUT_BIOS_PROPERTY_PRESENCE_V1,BIOS property presence,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/068-bios-property-presence.ps1,6a3da892bfc833a067574b9190cde1a70fd0636d974a464215414940f27ec3a1
ENDUSER_NOINPUT_BATTERY_INSTANCE_COUNT_V1,Battery instance count,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/069-battery-instance-count.ps1,234c1b97a7ed7cf9e4f009808c3501da88e3043f4caf08d7972bfe30728f8b9d
ENDUSER_NOINPUT_PORTABLE_CHASSIS_PRESENCE_V1,System enclosure property presence,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/070-portable-chassis-presence.ps1,61836d0d4d4465f124380eb429188166e5e4526c424af8e71af5703b406c7118
ENDUSER_NOINPUT_HOTFIX_COUNT_V1,Installed hotfix count,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/next100-no-input-v3/scripts/checks/071-hotfix-count.ps1,2e22bb2535a46a97b2c304c7303e05f8f0a48d7fbda68e3ae29ce37d06283301
